Mon,Tue,Wed,Thu,Fri,Sat,hour_sin,hour_cos,week_value,date_sin,date_cos,day_of_year,day_of_year_sin,day_of_year_cos,sch_hol_period,public_hol_period,year_quarter_Q1,year_quarter_Q2,year_quarter_Q3,congestion_scale_jb,congestion_scale_wdlands
0.0,1.0,0.0,0.0,0.0,0.0,-1.0,-1.8369701987210297e-16,1,0.8486442574947509,0.5289640103269624,126,0.8263541987239096,-0.5631507242749186,False,False,False,True,False,1,0
0.0,1.0,0.0,0.0,0.0,0.0,-0.9659258262890684,0.2588190451025203,1,0.8486442574947509,0.5289640103269624,126,0.8263541987239096,-0.5631507242749186,False,False,False,True,False,0,0
0.0,1.0,0.0,0.0,0.0,0.0,-0.8660254037844386,0.5000000000000001,1,0.8486442574947509,0.5289640103269624,126,0.8263541987239096,-0.5631507242749186,False,False,False,True,False,0,0
0.0,1.0,0.0,0.0,0.0,0.0,-0.7071067811865477,0.7071067811865474,1,0.8486442574947509,0.5289640103269624,126,0.8263541987239096,-0.5631507242749186,False,False,False,True,False,2,4
0.0,1.0,0.0,0.0,0.0,0.0,-0.5000000000000004,0.8660254037844384,1,0.8486442574947509,0.5289640103269624,126,0.8263541987239096,-0.5631507242749186,False,False,False,True,False,0,5
0.0,1.0,0.0,0.0,0.0,0.0,-0.25881904510252157,0.9659258262890681,1,0.8486442574947509,0.5289640103269624,126,0.8263541987239096,-0.5631507242749186,False,False,False,True,False,0,3
0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1,0.8486442574947509,0.5289640103269624,127,0.8165380514459161,-0.5772916165517272,False,False,False,False,True,0,0
0.0,0.0,1.0,0.0,0.0,0.0,0.9659258262890683,0.25881904510252074,1,0.8486442574947509,0.5289640103269624,127,0.8165380514459161,-0.5772916165517272,False,False,False,False,True,0,0
0.0,0.0,1.0,0.0,0.0,0.0,1.0,6.123233995736766e-17,1,0.8486442574947509,0.5289640103269624,127,0.8165380514459161,-0.5772916165517272,False,False,False,False,True,0,1
0.0,0.0,1.0,0.0,0.0,0.0,0.9659258262890683,-0.25881904510252063,1,0.8486442574947509,0.5289640103269624,127,0.8165380514459161,-0.5772916165517272,False,False,False,False,True,0,5
0.0,0.0,1.0,0.0,0.0,0.0,0.8660254037844387,-0.4999999999999998,1,0.8486442574947509,0.5289640103269624,127,0.8165380514459161,-0.5772916165517272,False,False,False,False,True,0,3
0.0,0.0,1.0,0.0,0.0,0.0,0.7071067811865476,-0.7071067811865475,1,0.8486442574947509,0.5289640103269624,127,0.8165380514459161,-0.5772916165517272,False,False,False,False,True,0,3
0.0,0.0,1.0,0.0,0.0,0.0,0.49999999999999994,-0.8660254037844387,1,0.8486442574947509,0.5289640103269624,127,0.8165380514459161,-0.5772916165517272,False,False,False,False,True,0,0
0.0,0.0,1.0,0.0,0.0,0.0,0.258819045102521,-0.9659258262890682,1,0.8486442574947509,0.5289640103269624,127,0.8165380514459161,-0.5772916165517272,False,False,False,False,True,0,0
0.0,0.0,1.0,0.0,0.0,0.0,1.2246467991473532e-16,-1.0,1,0.8486442574947509,0.5289640103269624,127,0.8165380514459161,-0.5772916165517272,False,False,False,False,True,0,2
0.0,0.0,1.0,0.0,0.0,0.0,-0.2588190451025208,-0.9659258262890683,1,0.8486442574947509,0.5289640103269624,127,0.8165380514459161,-0.5772916165517272,False,False,False,False,True,0,4
0.0,0.0,1.0,0.0,0.0,0.0,-0.4999999999999997,-0.8660254037844388,1,0.8486442574947509,0.5289640103269624,127,0.8165380514459161,-0.5772916165517272,False,False,False,False,True,0,2
0.0,0.0,1.0,0.0,0.0,0.0,-0.7071067811865471,-0.7071067811865479,1,0.8486442574947509,0.5289640103269624,127,0.8165380514459161,-0.5772916165517272,False,False,False,False,True,0,5
0.0,0.0,1.0,0.0,0.0,0.0,-0.8660254037844385,-0.5000000000000004,1,0.8486442574947509,0.5289640103269624,127,0.8165380514459161,-0.5772916165517272,False,False,False,False,True,0,5
0.0,0.0,1.0,0.0,0.0,0.0,-0.9659258262890683,-0.25881904510252063,1,0.8486442574947509,0.5289640103269624,127,0.8165380514459161,-0.5772916165517272,False,False,False,False,True,0,5
0.0,0.0,1.0,0.0,0.0,0.0,-1.0,-1.8369701987210297e-16,1,0.8486442574947509,0.5289640103269624,127,0.8165380514459161,-0.5772916165517272,False,False,False,False,True,0,5
0.0,0.0,1.0,0.0,0.0,0.0,-0.9659258262890684,0.2588190451025203,1,0.8486442574947509,0.5289640103269624,127,0.8165380514459161,-0.5772916165517272,False,False,False,False,True,0,5
0.0,0.0,1.0,0.0,0.0,0.0,-0.8660254037844386,0.5000000000000001,1,0.8486442574947509,0.5289640103269624,127,0.8165380514459161,-0.5772916165517272,False,False,False,False,True,1,1
0.0,0.0,1.0,0.0,0.0,0.0,-0.7071067811865477,0.7071067811865474,1,0.8486442574947509,0.5289640103269624,127,0.8165380514459161,-0.5772916165517272,False,False,False,False,True,0,3
0.0,0.0,1.0,0.0,0.0,0.0,-0.5000000000000004,0.8660254037844384,1,0.8486442574947509,0.5289640103269624,127,0.8165380514459161,-0.5772916165517272,False,False,False,False,True,0,4
0.0,0.0,1.0,0.0,0.0,0.0,-0.25881904510252157,0.9659258262890681,1,0.8486442574947509,0.5289640103269624,127,0.8165380514459161,-0.5772916165517272,False,False,False,False,True,0,0
0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1,0.8486442574947509,0.5289640103269624,128,0.8064799463209448,-0.5912614448635781,False,False,False,False,True,0,0
0.0,0.0,0.0,1.0,0.0,0.0,0.25881904510252074,0.9659258262890683,1,0.8486442574947509,0.5289640103269624,128,0.8064799463209448,-0.5912614448635781,False,False,False,False,True,0,0
0.0,0.0,0.0,1.0,0.0,0.0,0.49999999999999994,0.8660254037844387,1,0.8486442574947509,0.5289640103269624,128,0.8064799463209448,-0.5912614448635781,False,False,False,False,True,0,0
0.0,0.0,0.0,1.0,0.0,0.0,0.7071067811865476,0.7071067811865476,1,0.8486442574947509,0.5289640103269624,128,0.8064799463209448,-0.5912614448635781,False,False,False,False,True,0,0
0.0,0.0,0.0,1.0,0.0,0.0,0.8660254037844386,0.5000000000000001,1,0.8486442574947509,0.5289640103269624,128,0.8064799463209448,-0.5912614448635781,False,False,False,False,True,0,0
0.0,0.0,0.0,1.0,0.0,0.0,0.9659258262890683,0.25881904510252074,1,0.8486442574947509,0.5289640103269624,128,0.8064799463209448,-0.5912614448635781,False,False,False,False,True,0,0
0.0,0.0,0.0,1.0,0.0,0.0,1.0,6.123233995736766e-17,1,0.8486442574947509,0.5289640103269624,128,0.8064799463209448,-0.5912614448635781,False,False,False,False,True,0,2
0.0,0.0,0.0,1.0,0.0,0.0,0.9659258262890683,-0.25881904510252063,1,0.8486442574947509,0.5289640103269624,128,0.8064799463209448,-0.5912614448635781,False,False,False,False,True,0,5
0.0,0.0,0.0,1.0,0.0,0.0,0.8660254037844387,-0.4999999999999998,1,0.8486442574947509,0.5289640103269624,128,0.8064799463209448,-0.5912614448635781,False,False,False,False,True,0,5
0.0,0.0,0.0,1.0,0.0,0.0,0.7071067811865476,-0.7071067811865475,1,0.8486442574947509,0.5289640103269624,128,0.8064799463209448,-0.5912614448635781,False,False,False,False,True,0,5
0.0,0.0,0.0,1.0,0.0,0.0,0.49999999999999994,-0.8660254037844387,1,0.8486442574947509,0.5289640103269624,128,0.8064799463209448,-0.5912614448635781,False,False,False,False,True,0,0
0.0,0.0,0.0,1.0,0.0,0.0,0.258819045102521,-0.9659258262890682,1,0.8486442574947509,0.5289640103269624,128,0.8064799463209448,-0.5912614448635781,False,False,False,False,True,0,0
0.0,0.0,0.0,1.0,0.0,0.0,1.2246467991473532e-16,-1.0,1,0.8486442574947509,0.5289640103269624,128,0.8064799463209448,-0.5912614448635781,False,False,False,False,True,0,0
0.0,0.0,0.0,1.0,0.0,0.0,-0.2588190451025208,-0.9659258262890683,1,0.8486442574947509,0.5289640103269624,128,0.8064799463209448,-0.5912614448635781,False,False,False,False,True,0,0
0.0,0.0,0.0,1.0,0.0,0.0,-0.4999999999999997,-0.8660254037844388,1,0.8486442574947509,0.5289640103269624,128,0.8064799463209448,-0.5912614448635781,False,False,False,False,True,0,0
0.0,0.0,0.0,1.0,0.0,0.0,-0.7071067811865471,-0.7071067811865479,1,0.8486442574947509,0.5289640103269624,128,0.8064799463209448,-0.5912614448635781,False,False,False,False,True,0,0
0.0,0.0,0.0,1.0,0.0,0.0,-0.8660254037844385,-0.5000000000000004,1,0.8486442574947509,0.5289640103269624,128,0.8064799463209448,-0.5912614448635781,False,False,False,False,True,0,4
0.0,0.0,0.0,1.0,0.0,0.0,-0.9659258262890683,-0.25881904510252063,1,0.8486442574947509,0.5289640103269624,128,0.8064799463209448,-0.5912614448635781,False,False,False,False,True,3,4
0.0,0.0,0.0,1.0,0.0,0.0,-1.0,-1.8369701987210297e-16,1,0.8486442574947509,0.5289640103269624,128,0.8064799463209448,-0.5912614448635781,False,False,False,False,True,0,3
0.0,0.0,0.0,1.0,0.0,0.0,-0.9659258262890684,0.2588190451025203,1,0.8486442574947509,0.5289640103269624,128,0.8064799463209448,-0.5912614448635781,False,False,False,False,True,0,3
0.0,0.0,0.0,1.0,0.0,0.0,-0.8660254037844386,0.5000000000000001,1,0.8486442574947509,0.5289640103269624,128,0.8064799463209448,-0.5912614448635781,False,False,False,False,True,0,0
0.0,0.0,0.0,1.0,0.0,0.0,-0.7071067811865477,0.7071067811865474,1,0.8486442574947509,0.5289640103269624,128,0.8064799463209448,-0.5912614448635781,False,False,False,False,True,2,1
0.0,0.0,0.0,1.0,0.0,0.0,-0.5000000000000004,0.8660254037844384,1,0.8486442574947509,0.5289640103269624,128,0.8064799463209448,-0.5912614448635781,False,False,False,False,True,0,4
0.0,0.0,0.0,1.0,0.0,0.0,-0.25881904510252157,0.9659258262890681,1,0.8486442574947509,0.5289640103269624,128,0.8064799463209448,-0.5912614448635781,False,False,False,False,True,0,0
0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1,0.8486442574947509,0.5289640103269624,129,0.7961828637826158,-0.6050560696488488,False,False,False,False,True,0,0
0.0,0.0,0.0,0.0,1.0,0.0,0.25881904510252074,0.9659258262890683,1,0.8486442574947509,0.5289640103269624,129,0.7961828637826158,-0.6050560696488488,False,False,False,False,True,0,0
0.0,0.0,0.0,0.0,1.0,0.0,0.49999999999999994,0.8660254037844387,1,0.8486442574947509,0.5289640103269624,129,0.7961828637826158,-0.6050560696488488,False,False,False,False,True,0,0
0.0,0.0,0.0,0.0,1.0,0.0,0.7071067811865476,0.7071067811865476,1,0.8486442574947509,0.5289640103269624,129,0.7961828637826158,-0.6050560696488488,False,False,False,False,True,0,0
0.0,0.0,0.0,0.0,1.0,0.0,0.8660254037844386,0.5000000000000001,1,0.8486442574947509,0.5289640103269624,129,0.7961828637826158,-0.6050560696488488,False,False,False,False,True,0,0
0.0,0.0,0.0,0.0,1.0,0.0,0.9659258262890683,0.25881904510252074,1,0.8486442574947509,0.5289640103269624,129,0.7961828637826158,-0.6050560696488488,False,False,False,False,True,0,0
0.0,0.0,0.0,0.0,1.0,0.0,1.0,6.123233995736766e-17,1,0.8486442574947509,0.5289640103269624,129,0.7961828637826158,-0.6050560696488488,False,False,False,False,True,0,1
0.0,0.0,0.0,0.0,1.0,0.0,0.9659258262890683,-0.25881904510252063,1,0.8486442574947509,0.5289640103269624,129,0.7961828637826158,-0.6050560696488488,False,False,False,False,True,0,0
0.0,0.0,0.0,0.0,1.0,0.0,0.8660254037844387,-0.4999999999999998,1,0.8486442574947509,0.5289640103269624,129,0.7961828637826158,-0.6050560696488488,False,False,False,False,True,0,5
0.0,0.0,0.0,0.0,1.0,0.0,0.7071067811865476,-0.7071067811865475,1,0.8486442574947509,0.5289640103269624,129,0.7961828637826158,-0.6050560696488488,False,False,False,False,True,0,1
0.0,0.0,0.0,0.0,1.0,0.0,0.49999999999999994,-0.8660254037844387,1,0.8486442574947509,0.5289640103269624,129,0.7961828637826158,-0.6050560696488488,False,False,False,False,True,0,0
0.0,0.0,0.0,0.0,1.0,0.0,0.258819045102521,-0.9659258262890682,1,0.8486442574947509,0.5289640103269624,129,0.7961828637826158,-0.6050560696488488,False,False,False,False,True,0,0
0.0,0.0,0.0,0.0,1.0,0.0,1.2246467991473532e-16,-1.0,1,0.8486442574947509,0.5289640103269624,129,0.7961828637826158,-0.6050560696488488,False,False,False,False,True,0,0
0.0,0.0,0.0,0.0,1.0,0.0,-0.2588190451025208,-0.9659258262890683,1,0.8486442574947509,0.5289640103269624,129,0.7961828637826158,-0.6050560696488488,False,False,False,False,True,0,0
0.0,0.0,0.0,0.0,1.0,0.0,-0.4999999999999997,-0.8660254037844388,1,0.8486442574947509,0.5289640103269624,129,0.7961828637826158,-0.6050560696488488,False,False,False,False,True,0,0
0.0,0.0,0.0,0.0,1.0,0.0,-0.7071067811865471,-0.7071067811865479,1,0.8486442574947509,0.5289640103269624,129,0.7961828637826158,-0.6050560696488488,False,False,False,False,True,0,5
0.0,0.0,0.0,0.0,1.0,0.0,-0.8660254037844385,-0.5000000000000004,1,0.8486442574947509,0.5289640103269624,129,0.7961828637826158,-0.6050560696488488,False,False,False,False,True,0,5
0.0,0.0,0.0,0.0,1.0,0.0,-0.9659258262890683,-0.25881904510252063,1,0.8486442574947509,0.5289640103269624,129,0.7961828637826158,-0.6050560696488488,False,False,False,False,True,0,4
0.0,0.0,0.0,0.0,1.0,0.0,-1.0,-1.8369701987210297e-16,1,0.8486442574947509,0.5289640103269624,129,0.7961828637826158,-0.6050560696488488,False,False,False,False,True,0,5
0.0,0.0,0.0,0.0,1.0,0.0,-0.9659258262890684,0.2588190451025203,1,0.8486442574947509,0.5289640103269624,129,0.7961828637826158,-0.6050560696488488,False,False,False,False,True,0,0
0.0,0.0,0.0,0.0,1.0,0.0,-0.8660254037844386,0.5000000000000001,1,0.8486442574947509,0.5289640103269624,129,0.7961828637826158,-0.6050560696488488,False,False,False,False,True,0,0
0.0,0.0,0.0,0.0,1.0,0.0,-0.7071067811865477,0.7071067811865474,1,0.8486442574947509,0.5289640103269624,129,0.7961828637826158,-0.6050560696488488,False,False,False,False,True,0,0
0.0,0.0,0.0,0.0,1.0,0.0,-0.5000000000000004,0.8660254037844384,1,0.8486442574947509,0.5289640103269624,129,0.7961828637826158,-0.6050560696488488,False,False,False,False,True,1,0
0.0,0.0,0.0,0.0,1.0,0.0,-0.25881904510252157,0.9659258262890681,1,0.8486442574947509,0.5289640103269624,129,0.7961828637826158,-0.6050560696488488,False,False,False,False,True,0,0
0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1,0.8486442574947509,0.5289640103269624,130,0.7856498550787147,-0.6186714032625031,False,False,False,False,False,1,0
0.0,0.0,0.0,0.0,0.0,1.0,0.25881904510252074,0.9659258262890683,1,0.8486442574947509,0.5289640103269624,130,0.7856498550787147,-0.6186714032625031,False,False,False,False,False,4,0
0.0,0.0,0.0,0.0,0.0,1.0,0.49999999999999994,0.8660254037844387,1,0.8486442574947509,0.5289640103269624,130,0.7856498550787147,-0.6186714032625031,False,False,False,False,False,0,0
0.0,0.0,0.0,0.0,0.0,1.0,0.7071067811865476,0.7071067811865476,1,0.8486442574947509,0.5289640103269624,130,0.7856498550787147,-0.6186714032625031,False,False,False,False,False,0,0
0.0,0.0,0.0,0.0,0.0,1.0,0.8660254037844386,0.5000000000000001,1,0.8486442574947509,0.5289640103269624,130,0.7856498550787147,-0.6186714032625031,False,False,False,False,False,0,0
0.0,0.0,0.0,0.0,0.0,1.0,0.9659258262890683,0.25881904510252074,1,0.8486442574947509,0.5289640103269624,130,0.7856498550787147,-0.6186714032625031,False,False,False,False,False,0,5
0.0,0.0,0.0,0.0,0.0,1.0,1.0,6.123233995736766e-17,1,0.8486442574947509,0.5289640103269624,130,0.7856498550787147,-0.6186714032625031,False,False,False,False,False,0,5
0.0,0.0,0.0,0.0,0.0,1.0,0.9659258262890683,-0.25881904510252063,1,0.8486442574947509,0.5289640103269624,130,0.7856498550787147,-0.6186714032625031,False,False,False,False,False,4,1
0.0,0.0,0.0,0.0,0.0,1.0,0.8660254037844387,-0.4999999999999998,1,0.8486442574947509,0.5289640103269624,130,0.7856498550787147,-0.6186714032625031,False,False,False,False,False,0,0
0.0,0.0,0.0,0.0,0.0,1.0,0.7071067811865476,-0.7071067811865475,1,0.8486442574947509,0.5289640103269624,130,0.7856498550787147,-0.6186714032625031,False,False,False,False,False,5,5
0.0,0.0,0.0,0.0,0.0,1.0,0.49999999999999994,-0.8660254037844387,1,0.8486442574947509,0.5289640103269624,130,0.7856498550787147,-0.6186714032625031,False,False,False,False,False,5,4
0.0,0.0,0.0,0.0,0.0,1.0,0.258819045102521,-0.9659258262890682,1,0.8486442574947509,0.5289640103269624,130,0.7856498550787147,-0.6186714032625031,False,False,False,False,False,5,0
0.0,0.0,0.0,0.0,0.0,1.0,1.2246467991473532e-16,-1.0,1,0.8486442574947509,0.5289640103269624,130,0.7856498550787147,-0.6186714032625031,False,False,False,False,False,5,4
0.0,0.0,0.0,0.0,0.0,1.0,-0.2588190451025208,-0.9659258262890683,1,0.8486442574947509,0.5289640103269624,130,0.7856498550787147,-0.6186714032625031,False,False,False,False,False,5,3
0.0,0.0,0.0,0.0,0.0,1.0,-0.4999999999999997,-0.8660254037844388,1,0.8486442574947509,0.5289640103269624,130,0.7856498550787147,-0.6186714032625031,False,False,False,False,False,5,0
0.0,0.0,0.0,0.0,0.0,1.0,-0.7071067811865471,-0.7071067811865479,1,0.8486442574947509,0.5289640103269624,130,0.7856498550787147,-0.6186714032625031,False,False,False,False,False,0,0
0.0,0.0,0.0,0.0,0.0,1.0,-0.8660254037844385,-0.5000000000000004,1,0.8486442574947509,0.5289640103269624,130,0.7856498550787147,-0.6186714032625031,False,False,False,False,False,5,0
0.0,0.0,0.0,0.0,0.0,1.0,-0.9659258262890683,-0.25881904510252063,1,0.8486442574947509,0.5289640103269624,130,0.7856498550787147,-0.6186714032625031,False,False,False,False,False,5,0
0.0,0.0,0.0,0.0,0.0,1.0,-1.0,-1.8369701987210297e-16,1,0.8486442574947509,0.5289640103269624,130,0.7856498550787147,-0.6186714032625031,False,False,False,False,False,4,0
0.0,0.0,0.0,0.0,0.0,1.0,-0.9659258262890684,0.2588190451025203,1,0.8486442574947509,0.5289640103269624,130,0.7856498550787147,-0.6186714032625031,False,False,False,False,False,4,0
0.0,0.0,0.0,0.0,0.0,1.0,-0.8660254037844386,0.5000000000000001,1,0.8486442574947509,0.5289640103269624,130,0.7856498550787147,-0.6186714032625031,False,False,False,False,False,3,0
0.0,0.0,0.0,0.0,0.0,1.0,-0.7071067811865477,0.7071067811865474,1,0.8486442574947509,0.5289640103269624,130,0.7856498550787147,-0.6186714032625031,False,False,False,False,False,5,0
0.0,0.0,0.0,0.0,0.0,1.0,-0.5000000000000004,0.8660254037844384,1,0.8486442574947509,0.5289640103269624,130,0.7856498550787147,-0.6186714032625031,False,False,False,False,False,5,5
0.0,0.0,0.0,0.0,0.0,1.0,-0.25881904510252157,0.9659258262890681,1,0.8486442574947509,0.5289640103269624,130,0.7856498550787147,-0.6186714032625031,False,False,False,False,False,0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,0.8486442574947509,0.5289640103269624,131,0.7748840413670407,-0.6321034111873487,False,False,False,False,False,0,5
0.0,0.0,0.0,0.0,0.0,0.0,0.25881904510252074,0.9659258262890683,1,0.8486442574947509,0.5289640103269624,131,0.7748840413670407,-0.6321034111873487,False,False,False,False,False,0,3
0.0,0.0,0.0,0.0,0.0,0.0,0.49999999999999994,0.8660254037844387,1,0.8486442574947509,0.5289640103269624,131,0.7748840413670407,-0.6321034111873487,False,False,False,False,False,0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.7071067811865476,0.7071067811865476,1,0.8486442574947509,0.5289640103269624,131,0.7748840413670407,-0.6321034111873487,False,False,False,False,False,0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.8660254037844386,0.5000000000000001,1,0.8486442574947509,0.5289640103269624,131,0.7748840413670407,-0.6321034111873487,False,False,False,False,False,0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.9659258262890683,0.25881904510252074,1,0.8486442574947509,0.5289640103269624,131,0.7748840413670407,-0.6321034111873487,False,False,False,False,False,0,0
0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.123233995736766e-17,1,0.8486442574947509,0.5289640103269624,131,0.7748840413670407,-0.6321034111873487,False,False,False,False,False,1,1
0.0,0.0,0.0,0.0,0.0,0.0,0.9659258262890683,-0.25881904510252063,1,0.8486442574947509,0.5289640103269624,131,0.7748840413670407,-0.6321034111873487,False,False,False,False,False,5,0
0.0,0.0,0.0,0.0,0.0,0.0,0.8660254037844387,-0.4999999999999998,1,0.8486442574947509,0.5289640103269624,131,0.7748840413670407,-0.6321034111873487,False,False,False,False,False,4,5
0.0,0.0,0.0,0.0,0.0,0.0,0.7071067811865476,-0.7071067811865475,1,0.8486442574947509,0.5289640103269624,131,0.7748840413670407,-0.6321034111873487,False,False,False,False,False,4,0
0.0,0.0,0.0,0.0,0.0,0.0,0.49999999999999994,-0.8660254037844387,1,0.8486442574947509,0.5289640103269624,131,0.7748840413670407,-0.6321034111873487,False,False,False,False,False,5,4
0.0,0.0,0.0,0.0,0.0,0.0,0.258819045102521,-0.9659258262890682,1,0.8486442574947509,0.5289640103269624,131,0.7748840413670407,-0.6321034111873487,False,False,False,False,False,5,5
