Mon,Tue,Wed,Thu,Fri,Sat,hour_sin,hour_cos,week_value,date_sin,date_cos,day_of_year,day_of_year_sin,day_of_year_cos,sch_hol_period,public_hol_period,year_quarter_Q1,year_quarter_Q2,year_quarter_Q3,congestion_scale_jb,congestion_scale_wdlands
0.0,0.0,0.0,1.0,0.0,0.0,-0.8660254037844385,-0.5000000000000004,1,0.20129852008866006,0.9795299412524945,2,0.03442161162274574,0.9994074007397048,False,False,True,False,False,0,5
0.0,0.0,0.0,1.0,0.0,0.0,-0.9659258262890683,-0.25881904510252063,1,0.20129852008866006,0.9795299412524945,2,0.03442161162274574,0.9994074007397048,False,False,True,False,False,1,5
0.0,0.0,0.0,1.0,0.0,0.0,-1.0,-1.8369701987210297e-16,1,0.20129852008866006,0.9795299412524945,2,0.03442161162274574,0.9994074007397048,False,False,True,False,False,0,5
0.0,0.0,0.0,1.0,0.0,0.0,-0.9659258262890684,0.2588190451025203,1,0.20129852008866006,0.9795299412524945,2,0.03442161162274574,0.9994074007397048,False,False,True,False,False,0,0
0.0,0.0,0.0,1.0,0.0,0.0,-0.8660254037844386,0.5000000000000001,1,0.20129852008866006,0.9795299412524945,2,0.03442161162274574,0.9994074007397048,False,False,True,False,False,0,0
0.0,0.0,0.0,1.0,0.0,0.0,-0.7071067811865477,0.7071067811865474,1,0.20129852008866006,0.9795299412524945,2,0.03442161162274574,0.9994074007397048,False,False,True,False,False,0,0
0.0,0.0,0.0,1.0,0.0,0.0,-0.5000000000000004,0.8660254037844384,1,0.20129852008866006,0.9795299412524945,2,0.03442161162274574,0.9994074007397048,False,False,True,False,False,0,0
0.0,0.0,0.0,1.0,0.0,0.0,-0.25881904510252157,0.9659258262890681,1,0.20129852008866006,0.9795299412524945,2,0.03442161162274574,0.9994074007397048,False,False,True,False,False,0,0
0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1,0.20129852008866006,0.9795299412524945,3,0.051619667223253764,0.998666816288476,False,False,True,False,False,0,0
0.0,0.0,0.0,0.0,1.0,0.0,0.25881904510252074,0.9659258262890683,1,0.20129852008866006,0.9795299412524945,3,0.051619667223253764,0.998666816288476,False,False,True,False,False,0,0
0.0,0.0,0.0,0.0,1.0,0.0,0.49999999999999994,0.8660254037844387,1,0.20129852008866006,0.9795299412524945,3,0.051619667223253764,0.998666816288476,False,False,True,False,False,0,0
0.0,0.0,0.0,0.0,1.0,0.0,0.7071067811865476,0.7071067811865476,1,0.20129852008866006,0.9795299412524945,3,0.051619667223253764,0.998666816288476,False,False,True,False,False,0,0
0.0,0.0,0.0,0.0,1.0,0.0,0.8660254037844386,0.5000000000000001,1,0.20129852008866006,0.9795299412524945,3,0.051619667223253764,0.998666816288476,False,False,True,False,False,0,0
0.0,0.0,0.0,0.0,1.0,0.0,0.9659258262890683,0.25881904510252074,1,0.20129852008866006,0.9795299412524945,3,0.051619667223253764,0.998666816288476,False,False,True,False,False,0,0
0.0,0.0,0.0,0.0,1.0,0.0,1.0,6.123233995736766e-17,1,0.20129852008866006,0.9795299412524945,3,0.051619667223253764,0.998666816288476,False,False,True,False,False,0,0
0.0,0.0,0.0,0.0,1.0,0.0,0.9659258262890683,-0.25881904510252063,1,0.20129852008866006,0.9795299412524945,3,0.051619667223253764,0.998666816288476,False,False,True,False,False,0,0
0.0,0.0,0.0,0.0,1.0,0.0,0.8660254037844387,-0.4999999999999998,1,0.20129852008866006,0.9795299412524945,3,0.051619667223253764,0.998666816288476,False,False,True,False,False,0,1
0.0,0.0,0.0,0.0,1.0,0.0,0.7071067811865476,-0.7071067811865475,1,0.20129852008866006,0.9795299412524945,3,0.051619667223253764,0.998666816288476,False,False,True,False,False,0,1
0.0,0.0,0.0,0.0,1.0,0.0,0.49999999999999994,-0.8660254037844387,1,0.20129852008866006,0.9795299412524945,3,0.051619667223253764,0.998666816288476,False,False,True,False,False,0,0
0.0,0.0,0.0,0.0,1.0,0.0,0.258819045102521,-0.9659258262890682,1,0.20129852008866006,0.9795299412524945,3,0.051619667223253764,0.998666816288476,False,False,True,False,False,5,0
0.0,0.0,0.0,0.0,1.0,0.0,1.2246467991473532e-16,-1.0,1,0.20129852008866006,0.9795299412524945,3,0.051619667223253764,0.998666816288476,False,False,True,False,False,0,0
0.0,0.0,0.0,0.0,1.0,0.0,-0.2588190451025208,-0.9659258262890683,1,0.20129852008866006,0.9795299412524945,3,0.051619667223253764,0.998666816288476,False,False,True,False,False,1,0
0.0,0.0,0.0,0.0,1.0,0.0,-0.4999999999999997,-0.8660254037844388,1,0.20129852008866006,0.9795299412524945,3,0.051619667223253764,0.998666816288476,False,False,True,False,False,0,0
0.0,0.0,0.0,0.0,1.0,0.0,-0.7071067811865471,-0.7071067811865479,1,0.20129852008866006,0.9795299412524945,3,0.051619667223253764,0.998666816288476,False,False,True,False,False,0,0
0.0,0.0,0.0,0.0,1.0,0.0,-0.8660254037844385,-0.5000000000000004,1,0.20129852008866006,0.9795299412524945,3,0.051619667223253764,0.998666816288476,False,False,True,False,False,5,0
0.0,0.0,0.0,0.0,1.0,0.0,-0.9659258262890683,-0.25881904510252063,1,0.20129852008866006,0.9795299412524945,3,0.051619667223253764,0.998666816288476,False,False,True,False,False,5,5
0.0,0.0,0.0,0.0,1.0,0.0,-1.0,-1.8369701987210297e-16,1,0.20129852008866006,0.9795299412524945,3,0.051619667223253764,0.998666816288476,False,False,True,False,False,0,3
0.0,0.0,0.0,0.0,1.0,0.0,-0.9659258262890684,0.2588190451025203,1,0.20129852008866006,0.9795299412524945,3,0.051619667223253764,0.998666816288476,False,False,True,False,False,0,0
0.0,0.0,0.0,0.0,1.0,0.0,-0.8660254037844386,0.5000000000000001,1,0.20129852008866006,0.9795299412524945,3,0.051619667223253764,0.998666816288476,False,False,True,False,False,0,0
0.0,0.0,0.0,0.0,1.0,0.0,-0.7071067811865477,0.7071067811865474,1,0.20129852008866006,0.9795299412524945,3,0.051619667223253764,0.998666816288476,False,False,True,False,False,0,0
0.0,0.0,0.0,0.0,1.0,0.0,-0.5000000000000004,0.8660254037844384,1,0.20129852008866006,0.9795299412524945,3,0.051619667223253764,0.998666816288476,False,False,True,False,False,0,0
0.0,0.0,0.0,0.0,1.0,0.0,-0.25881904510252157,0.9659258262890681,1,0.20129852008866006,0.9795299412524945,3,0.051619667223253764,0.998666816288476,False,False,True,False,False,0,0
0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1,0.20129852008866006,0.9795299412524945,4,0.06880242680231986,0.9976303053065857,False,False,False,True,False,0,0
0.0,0.0,0.0,0.0,0.0,1.0,0.25881904510252074,0.9659258262890683,1,0.20129852008866006,0.9795299412524945,4,0.06880242680231986,0.9976303053065857,False,False,False,True,False,0,0
0.0,0.0,0.0,0.0,0.0,1.0,0.49999999999999994,0.8660254037844387,1,0.20129852008866006,0.9795299412524945,4,0.06880242680231986,0.9976303053065857,False,False,False,True,False,0,0
0.0,0.0,0.0,0.0,0.0,1.0,0.7071067811865476,0.7071067811865476,1,0.20129852008866006,0.9795299412524945,4,0.06880242680231986,0.9976303053065857,False,False,False,True,False,0,0
0.0,0.0,0.0,0.0,0.0,1.0,0.8660254037844386,0.5000000000000001,1,0.20129852008866006,0.9795299412524945,4,0.06880242680231986,0.9976303053065857,False,False,False,True,False,0,0
0.0,0.0,0.0,0.0,0.0,1.0,0.9659258262890683,0.25881904510252074,1,0.20129852008866006,0.9795299412524945,4,0.06880242680231986,0.9976303053065857,False,False,False,True,False,0,0
0.0,0.0,0.0,0.0,0.0,1.0,1.0,6.123233995736766e-17,1,0.20129852008866006,0.9795299412524945,4,0.06880242680231986,0.9976303053065857,False,False,False,True,False,0,0
0.0,0.0,0.0,0.0,0.0,1.0,0.9659258262890683,-0.25881904510252063,1,0.20129852008866006,0.9795299412524945,4,0.06880242680231986,0.9976303053065857,False,False,False,True,False,1,0
0.0,0.0,0.0,0.0,0.0,1.0,0.8660254037844387,-0.4999999999999998,1,0.20129852008866006,0.9795299412524945,4,0.06880242680231986,0.9976303053065857,False,False,False,True,False,5,0
0.0,0.0,0.0,0.0,0.0,1.0,0.7071067811865476,-0.7071067811865475,1,0.20129852008866006,0.9795299412524945,4,0.06880242680231986,0.9976303053065857,False,False,False,True,False,5,0
0.0,0.0,0.0,0.0,0.0,1.0,0.49999999999999994,-0.8660254037844387,1,0.20129852008866006,0.9795299412524945,4,0.06880242680231986,0.9976303053065857,False,False,False,True,False,5,1
0.0,0.0,0.0,0.0,0.0,1.0,0.258819045102521,-0.9659258262890682,1,0.20129852008866006,0.9795299412524945,4,0.06880242680231986,0.9976303053065857,False,False,False,True,False,5,0
0.0,0.0,0.0,0.0,0.0,1.0,1.2246467991473532e-16,-1.0,1,0.20129852008866006,0.9795299412524945,4,0.06880242680231986,0.9976303053065857,False,False,False,True,False,5,0
0.0,0.0,0.0,0.0,0.0,1.0,-0.2588190451025208,-0.9659258262890683,1,0.20129852008866006,0.9795299412524945,4,0.06880242680231986,0.9976303053065857,False,False,False,True,False,5,0
0.0,0.0,0.0,0.0,0.0,1.0,-0.4999999999999997,-0.8660254037844388,1,0.20129852008866006,0.9795299412524945,4,0.06880242680231986,0.9976303053065857,False,False,False,True,False,5,0
0.0,0.0,0.0,0.0,0.0,1.0,-0.7071067811865471,-0.7071067811865479,1,0.20129852008866006,0.9795299412524945,4,0.06880242680231986,0.9976303053065857,False,False,False,True,False,5,0
0.0,0.0,0.0,0.0,0.0,1.0,-0.8660254037844385,-0.5000000000000004,1,0.20129852008866006,0.9795299412524945,4,0.06880242680231986,0.9976303053065857,False,False,False,True,False,2,0
0.0,0.0,0.0,0.0,0.0,1.0,-0.9659258262890683,-0.25881904510252063,1,0.20129852008866006,0.9795299412524945,4,0.06880242680231986,0.9976303053065857,False,False,False,True,False,2,0
0.0,0.0,0.0,0.0,0.0,1.0,-1.0,-1.8369701987210297e-16,1,0.20129852008866006,0.9795299412524945,4,0.06880242680231986,0.9976303053065857,False,False,False,True,False,0,0
0.0,0.0,0.0,0.0,0.0,1.0,-0.9659258262890684,0.2588190451025203,1,0.20129852008866006,0.9795299412524945,4,0.06880242680231986,0.9976303053065857,False,False,False,True,False,0,0
0.0,0.0,0.0,0.0,0.0,1.0,-0.8660254037844386,0.5000000000000001,1,0.20129852008866006,0.9795299412524945,4,0.06880242680231986,0.9976303053065857,False,False,False,True,False,0,0
0.0,0.0,0.0,0.0,0.0,1.0,-0.7071067811865477,0.7071067811865474,1,0.20129852008866006,0.9795299412524945,4,0.06880242680231986,0.9976303053065857,False,False,False,True,False,3,0
0.0,0.0,0.0,0.0,0.0,1.0,-0.5000000000000004,0.8660254037844384,1,0.20129852008866006,0.9795299412524945,4,0.06880242680231986,0.9976303053065857,False,False,False,True,False,0,0
0.0,0.0,0.0,0.0,0.0,1.0,-0.25881904510252157,0.9659258262890681,1,0.20129852008866006,0.9795299412524945,4,0.06880242680231986,0.9976303053065857,False,False,False,True,False,0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,0.20129852008866006,0.9795299412524945,5,0.08596479873744647,0.9962981749346078,False,False,False,True,False,0,5
0.0,0.0,0.0,0.0,0.0,0.0,0.9659258262890683,-0.25881904510252063,1,0.20129852008866006,0.9795299412524945,5,0.08596479873744647,0.9962981749346078,False,False,False,True,False,0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.8660254037844387,-0.4999999999999998,1,0.20129852008866006,0.9795299412524945,5,0.08596479873744647,0.9962981749346078,False,False,False,True,False,3,0
0.0,0.0,0.0,0.0,0.0,0.0,0.7071067811865476,-0.7071067811865475,1,0.20129852008866006,0.9795299412524945,5,0.08596479873744647,0.9962981749346078,False,False,False,True,False,0,2
0.0,0.0,0.0,0.0,0.0,0.0,0.49999999999999994,-0.8660254037844387,1,0.20129852008866006,0.9795299412524945,5,0.08596479873744647,0.9962981749346078,False,False,False,True,False,5,5
0.0,0.0,0.0,0.0,0.0,0.0,0.258819045102521,-0.9659258262890682,1,0.20129852008866006,0.9795299412524945,5,0.08596479873744647,0.9962981749346078,False,False,False,True,False,1,0
0.0,0.0,0.0,0.0,0.0,0.0,1.2246467991473532e-16,-1.0,1,0.20129852008866006,0.9795299412524945,5,0.08596479873744647,0.9962981749346078,False,False,False,True,False,0,0
0.0,0.0,0.0,0.0,0.0,0.0,-0.2588190451025208,-0.9659258262890683,1,0.20129852008866006,0.9795299412524945,5,0.08596479873744647,0.9962981749346078,False,False,False,True,False,0,0
0.0,0.0,0.0,0.0,0.0,0.0,-0.4999999999999997,-0.8660254037844388,1,0.20129852008866006,0.9795299412524945,5,0.08596479873744647,0.9962981749346078,False,False,False,True,False,0,0
0.0,0.0,0.0,0.0,0.0,0.0,-0.7071067811865471,-0.7071067811865479,1,0.20129852008866006,0.9795299412524945,5,0.08596479873744647,0.9962981749346078,False,False,False,True,False,0,0
0.0,0.0,0.0,0.0,0.0,0.0,-0.8660254037844385,-0.5000000000000004,1,0.20129852008866006,0.9795299412524945,5,0.08596479873744647,0.9962981749346078,False,False,False,True,False,0,3
0.0,0.0,0.0,0.0,0.0,0.0,-0.9659258262890683,-0.25881904510252063,1,0.20129852008866006,0.9795299412524945,5,0.08596479873744647,0.9962981749346078,False,False,False,True,False,0,0
0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.8369701987210297e-16,1,0.20129852008866006,0.9795299412524945,5,0.08596479873744647,0.9962981749346078,False,False,False,True,False,0,0
0.0,0.0,0.0,0.0,0.0,0.0,-0.9659258262890684,0.2588190451025203,1,0.20129852008866006,0.9795299412524945,5,0.08596479873744647,0.9962981749346078,False,False,False,True,False,0,0
0.0,0.0,0.0,0.0,0.0,0.0,-0.8660254037844386,0.5000000000000001,1,0.20129852008866006,0.9795299412524945,5,0.08596479873744647,0.9962981749346078,False,False,False,True,False,0,0
0.0,0.0,0.0,0.0,0.0,0.0,-0.7071067811865477,0.7071067811865474,1,0.20129852008866006,0.9795299412524945,5,0.08596479873744647,0.9962981749346078,False,False,False,True,False,0,0
0.0,0.0,0.0,0.0,0.0,0.0,-0.5000000000000004,0.8660254037844384,1,0.20129852008866006,0.9795299412524945,5,0.08596479873744647,0.9962981749346078,False,False,False,True,False,0,0
0.0,0.0,0.0,0.0,0.0,0.0,-0.25881904510252157,0.9659258262890681,1,0.20129852008866006,0.9795299412524945,5,0.08596479873744647,0.9962981749346078,False,False,False,True,False,0,0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,0.20129852008866006,0.9795299412524945,6,0.10310169744743485,0.9946708199115211,False,False,False,True,False,0,0
1.0,0.0,0.0,0.0,0.0,0.0,0.25881904510252074,0.9659258262890683,1,0.20129852008866006,0.9795299412524945,6,0.10310169744743485,0.9946708199115211,False,False,False,True,False,0,0
1.0,0.0,0.0,0.0,0.0,0.0,0.49999999999999994,0.8660254037844387,1,0.20129852008866006,0.9795299412524945,6,0.10310169744743485,0.9946708199115211,False,False,False,True,False,0,0
1.0,0.0,0.0,0.0,0.0,0.0,0.7071067811865476,0.7071067811865476,1,0.20129852008866006,0.9795299412524945,6,0.10310169744743485,0.9946708199115211,False,False,False,True,False,0,0
1.0,0.0,0.0,0.0,0.0,0.0,0.8660254037844386,0.5000000000000001,1,0.20129852008866006,0.9795299412524945,6,0.10310169744743485,0.9946708199115211,False,False,False,True,False,0,0
1.0,0.0,0.0,0.0,0.0,0.0,0.9659258262890683,0.25881904510252074,1,0.20129852008866006,0.9795299412524945,6,0.10310169744743485,0.9946708199115211,False,False,False,True,False,0,0
1.0,0.0,0.0,0.0,0.0,0.0,1.0,6.123233995736766e-17,1,0.20129852008866006,0.9795299412524945,6,0.10310169744743485,0.9946708199115211,False,False,False,True,False,0,1
1.0,0.0,0.0,0.0,0.0,0.0,0.9659258262890683,-0.25881904510252063,1,0.20129852008866006,0.9795299412524945,6,0.10310169744743485,0.9946708199115211,False,False,False,True,False,1,1
1.0,0.0,0.0,0.0,0.0,0.0,0.8660254037844387,-0.4999999999999998,1,0.20129852008866006,0.9795299412524945,6,0.10310169744743485,0.9946708199115211,False,False,False,True,False,0,5
1.0,0.0,0.0,0.0,0.0,0.0,0.7071067811865476,-0.7071067811865475,1,0.20129852008866006,0.9795299412524945,6,0.10310169744743485,0.9946708199115211,False,False,False,True,False,0,4
1.0,0.0,0.0,0.0,0.0,0.0,0.49999999999999994,-0.8660254037844387,1,0.20129852008866006,0.9795299412524945,6,0.10310169744743485,0.9946708199115211,False,False,False,True,False,0,0
1.0,0.0,0.0,0.0,0.0,0.0,0.258819045102521,-0.9659258262890682,1,0.20129852008866006,0.9795299412524945,6,0.10310169744743485,0.9946708199115211,False,False,False,True,False,0,0
1.0,0.0,0.0,0.0,0.0,0.0,1.2246467991473532e-16,-1.0,1,0.20129852008866006,0.9795299412524945,6,0.10310169744743485,0.9946708199115211,False,False,False,True,False,0,5
1.0,0.0,0.0,0.0,0.0,0.0,-0.2588190451025208,-0.9659258262890683,1,0.20129852008866006,0.9795299412524945,6,0.10310169744743485,0.9946708199115211,False,False,False,True,False,0,3
1.0,0.0,0.0,0.0,0.0,0.0,-0.4999999999999997,-0.8660254037844388,1,0.20129852008866006,0.9795299412524945,6,0.10310169744743485,0.9946708199115211,False,False,False,True,False,0,0
1.0,0.0,0.0,0.0,0.0,0.0,-0.7071067811865471,-0.7071067811865479,1,0.20129852008866006,0.9795299412524945,6,0.10310169744743485,0.9946708199115211,False,False,False,True,False,0,0
1.0,0.0,0.0,0.0,0.0,0.0,-0.8660254037844385,-0.5000000000000004,1,0.20129852008866006,0.9795299412524945,6,0.10310169744743485,0.9946708199115211,False,False,False,True,False,0,5
1.0,0.0,0.0,0.0,0.0,0.0,-0.9659258262890683,-0.25881904510252063,1,0.20129852008866006,0.9795299412524945,6,0.10310169744743485,0.9946708199115211,False,False,False,True,False,0,5
1.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.8369701987210297e-16,1,0.20129852008866006,0.9795299412524945,6,0.10310169744743485,0.9946708199115211,False,False,False,True,False,0,0
1.0,0.0,0.0,0.0,0.0,0.0,-0.9659258262890684,0.2588190451025203,1,0.20129852008866006,0.9795299412524945,6,0.10310169744743485,0.9946708199115211,False,False,False,True,False,0,0
1.0,0.0,0.0,0.0,0.0,0.0,-0.8660254037844386,0.5000000000000001,1,0.20129852008866006,0.9795299412524945,6,0.10310169744743485,0.9946708199115211,False,False,False,True,False,0,0
1.0,0.0,0.0,0.0,0.0,0.0,-0.7071067811865477,0.7071067811865474,1,0.20129852008866006,0.9795299412524945,6,0.10310169744743485,0.9946708199115211,False,False,False,True,False,0,0
1.0,0.0,0.0,0.0,0.0,0.0,-0.5000000000000004,0.8660254037844384,1,0.20129852008866006,0.9795299412524945,6,0.10310169744743485,0.9946708199115211,False,False,False,True,False,0,5
1.0,0.0,0.0,0.0,0.0,0.0,-0.25881904510252157,0.9659258262890681,1,0.20129852008866006,0.9795299412524945,6,0.10310169744743485,0.9946708199115211,False,False,False,True,False,0,0
0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1,0.20129852008866006,0.9795299412524945,7,0.1202080448993527,0.9927487224577402,False,False,False,False,True,0,0
0.0,1.0,0.0,0.0,0.0,0.0,0.25881904510252074,0.9659258262890683,1,0.20129852008866006,0.9795299412524945,7,0.1202080448993527,0.9927487224577402,False,False,False,False,True,0,0
0.0,1.0,0.0,0.0,0.0,0.0,0.49999999999999994,0.8660254037844387,1,0.20129852008866006,0.9795299412524945,7,0.1202080448993527,0.9927487224577402,False,False,False,False,True,0,0
0.0,1.0,0.0,0.0,0.0,0.0,0.7071067811865476,0.7071067811865476,1,0.20129852008866006,0.9795299412524945,7,0.1202080448993527,0.9927487224577402,False,False,False,False,True,0,0
0.0,1.0,0.0,0.0,0.0,0.0,0.8660254037844386,0.5000000000000001,1,0.20129852008866006,0.9795299412524945,7,0.1202080448993527,0.9927487224577402,False,False,False,False,True,0,0
0.0,1.0,0.0,0.0,0.0,0.0,0.9659258262890683,0.25881904510252074,1,0.20129852008866006,0.9795299412524945,7,0.1202080448993527,0.9927487224577402,False,False,False,False,True,0,0
0.0,1.0,0.0,0.0,0.0,0.0,1.0,6.123233995736766e-17,1,0.20129852008866006,0.9795299412524945,7,0.1202080448993527,0.9927487224577402,False,False,False,False,True,0,1
0.0,1.0,0.0,0.0,0.0,0.0,0.9659258262890683,-0.25881904510252063,1,0.20129852008866006,0.9795299412524945,7,0.1202080448993527,0.9927487224577402,False,False,False,False,True,0,1
0.0,1.0,0.0,0.0,0.0,0.0,0.8660254037844387,-0.4999999999999998,1,0.20129852008866006,0.9795299412524945,7,0.1202080448993527,0.9927487224577402,False,False,False,False,True,0,5
0.0,1.0,0.0,0.0,0.0,0.0,0.7071067811865476,-0.7071067811865475,1,0.20129852008866006,0.9795299412524945,7,0.1202080448993527,0.9927487224577402,False,False,False,False,True,0,5
0.0,1.0,0.0,0.0,0.0,0.0,0.49999999999999994,-0.8660254037844387,1,0.20129852008866006,0.9795299412524945,7,0.1202080448993527,0.9927487224577402,False,False,False,False,True,0,4
0.0,1.0,0.0,0.0,0.0,0.0,0.258819045102521,-0.9659258262890682,1,0.20129852008866006,0.9795299412524945,7,0.1202080448993527,0.9927487224577402,False,False,False,False,True,5,0
0.0,1.0,0.0,0.0,0.0,0.0,1.2246467991473532e-16,-1.0,1,0.20129852008866006,0.9795299412524945,7,0.1202080448993527,0.9927487224577402,False,False,False,False,True,5,4
0.0,1.0,0.0,0.0,0.0,0.0,-0.2588190451025208,-0.9659258262890683,1,0.20129852008866006,0.9795299412524945,7,0.1202080448993527,0.9927487224577402,False,False,False,False,True,5,0
0.0,1.0,0.0,0.0,0.0,0.0,-0.4999999999999997,-0.8660254037844388,1,0.20129852008866006,0.9795299412524945,7,0.1202080448993527,0.9927487224577402,False,False,False,False,True,0,0
0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2,0.6513724827222223,-0.758758122692791,361,-0.06880242680232064,0.9976303053065857,True,False,False,False,False,0,5
0.0,0.0,0.0,0.0,1.0,0.0,0.25881904510252074,0.9659258262890683,2,0.6513724827222223,-0.758758122692791,361,-0.06880242680232064,0.9976303053065857,True,False,False,False,False,0,0
0.0,0.0,0.0,0.0,1.0,0.0,0.49999999999999994,0.8660254037844387,2,0.6513724827222223,-0.758758122692791,361,-0.06880242680232064,0.9976303053065857,True,False,False,False,False,0,0
